Id,Year,Variety,Owner,IdOwnerVarietyYear,Species,Country,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Color,AltitudeLowMeters,AltitudeHighMeters,AltitudeMeanMeters
305,2014,Other,Olam Agro Colombia,"305, Olam Agro Colombia, 2014, Other",Arabica,Colombia,huila,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75,Green,1500,1600,1550
306,2013,Caturra,Exportadora De Cafe Condor S.A,"306, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75,Blue-Green,1750,1750,1750
307,2013,Caturra,Exportadora De Cafe Condor S.A,"307, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75,Green,1750,1750,1750
308,2013,Hawaiian Kona,Kona Pacific Farmers Cooperative,"308, Kona Pacific Farmers Cooperative, 2013, Hawaiian Kona",Arabica,United States,kona,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,83.75,Bluish-Green,,,
309,2012,Caturra,Saul M. Hernandez Ramirez,"309, Saul M. Hernandez Ramirez, 2012, Caturra",Arabica,Mexico,"huazalingo, hidalgo",7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75,None,700,700,700
310,2012,Caturra,The Coffee Source Inc.,"310, The Coffee Source Inc., 2012, Caturra",Arabica,Guatemala,quetzaltenango,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75,Bluish-Green,1300,1300,1300
311,,,Carcafe Ltda Ci,"311, Carcafe Ltda Ci",Arabica,Colombia,cauca,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,83.75,,1600,1600,1600
312,,,Exportadora De Cafe Condor S.A,"312, Exportadora De Cafe Condor S.A",Arabica,Colombia,cundinamarca,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75,,1600,1600,1600
313,,,Kona Pacific Farmers Cooperative,"313, Kona Pacific Farmers Cooperative",Arabica,United States,kona,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,83.75,,,,
314,2017,Bourbon,Ipanema Coffees,"314, Ipanema Coffees, 2017, Bourbon",Arabica,Brazil,south of minas,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67,Green,890,890,890
315,2017,SL28,Kennedy Macharia,"315, Kennedy Macharia, 2017, SL28",Arabica,Kenya,meru county,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,83.67,Bluish-Green,1700,1700,1700
316,2016,Caturra,Bismarck Castro,"316, Bismarck Castro, 2016, Caturra",Arabica,Honduras,comayagua,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67,Green,1400,1400,1400
317,2016,Caturra,"Comercial Internacional Exportadora, S.A.","317, Comercial Internacional Exportadora, S.A., 2016, Caturra",Arabica,Nicaragua,jinotega,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67,Green,1250,1250,1250
318,2016,Bourbon,Ipanema Coffees,"318, Ipanema Coffees, 2016, Bourbon",Arabica,Brazil,south of minas,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67,Green,934,934,934
319,2015,Caturra,"Lin, Che-Hao Krude ∆ûó≈ì≤»±™","319, Lin, Che-Hao Krude ∆ûó≈ì≤»±™, 2015, Caturra",Arabica,Taiwan,"leye, alishan township, chiayi county",7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67,Bluish-Green,1200,1200,1200
320,,,"Ceca, S.A.","320, Ceca, S.A.",Arabica,Costa Rica,west valley,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67,Blue-Green,1350,1350,1350
321,2014,,Doi Tung Development Project,"321, Doi Tung Development Project, 2014",Arabica,Thailand,thailand,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67,Bluish-Green,800,800,800
322,2014,Caturra,Rob Stephen,"322, Rob Stephen, 2014, Caturra",Arabica,Colombia,huila,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,,1550,1700,1625
323,2014,Bourbon,Juan Luis Alvarado Romero,"323, Juan Luis Alvarado Romero, 2014, Bourbon",Arabica,Guatemala,huehuetenango,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67,Green,413.511431,413.511431,413.511431
324,2013,Caturra,Exportadora De Cafe Condor S.A,"324, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila supremo,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,Green,1750,1750,1750
325,2013,Caturra,Racafe & Cia S.C.A,"325, Racafe & Cia S.C.A, 2013, Caturra",Arabica,Colombia,huila,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67,Green,1800,2000,1900
326,2013,Bourbon,Juan Luis Alvarado Romero,"326, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67,Green,399.483072,399.483072,399.483072
327,2013,Bourbon,Juan Luis Alvarado Romero,"327, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67,Green,399.483072,399.483072,399.483072
328,2012,Caturra,Exportadora De Cafe Condor S.A,"328, Exportadora De Cafe Condor S.A, 2012, Caturra",Arabica,Colombia,huila,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67,Green,1750,1750,1750
329,2012,Caturra,The Coffee Source Inc.,"329, The Coffee Source Inc., 2012, Caturra",Arabica,Guatemala,oriente,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,Green,1450,1450,1450
330,2012,Bourbon,Juan Luis Alvarado Romero,"330, Juan Luis Alvarado Romero, 2012, Bourbon",Arabica,Guatemala,oriente,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67,Green,399.483072,399.483072,399.483072
331,2012,Typica,Juan Luis Ortega Carballo,"331, Juan Luis Ortega Carballo, 2012, Typica",Arabica,Mexico,xicotepec de juarez,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,Green,1100,1100,1100
332,2012,Typica,Ekai International Company Ltd.,"332, Ekai International Company Ltd., 2012, Typica",Arabica,Indonesia,east java,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,Green,1200,1600,1400
333,2012,Caturra,Juan Luis Alvarado Romero,"333, Juan Luis Alvarado Romero, 2012, Caturra",Arabica,Guatemala,"sacatepequez, guatemala",7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,Green,464.5152,464.5152,464.5152
334,,,Kona Pacific Farmers Cooperative,"334, Kona Pacific Farmers Cooperative",Arabica,United States,,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67,,,,
335,2017,Bourbon,Ipanema Coffees,"335, Ipanema Coffees, 2017, Bourbon",Arabica,Brazil,south of minas,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,Green,890,890,890
336,2016,Caturra,Juan Luis Alvarado Romero,"336, Juan Luis Alvarado Romero, 2016, Caturra",Arabica,Guatemala,huehuetenango,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,Green,343.9270541,343.9270541,343.9270541
337,2016,Caturra,Racafe & Cia S.C.A,"337, Racafe & Cia S.C.A, 2016, Caturra",Arabica,Colombia,huila,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,Green,,,
338,2015,Catimor,Yunnan Coffee Exchange,"338, Yunnan Coffee Exchange, 2015, Catimor",Arabica,China,yunnan,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,Green,1100,1100,1100
339,2015,Caturra,Racafe & Cia S.C.A,"339, Racafe & Cia S.C.A, 2015, Caturra",Arabica,Colombia,huila,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,Green,1600,1950,1775
340,2014,Caturra,Andreas Kussmaul,"340, Andreas Kussmaul, 2014, Caturra",Arabica,Mexico,"chiapas, jaltenango",7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,Green,1200,1200,1200
341,2014,Other,Essencecoffee,"341, Essencecoffee, 2014, Other",Arabica,Ethiopia,yirgacheffe,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,,1700,2000,1850
342,2013,SL14,Bulamburi Coffee Farmers Association,"342, Bulamburi Coffee Farmers Association, 2013, SL14",Arabica,Uganda,eastern,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,Green,1800,1800,1800
343,2014,Caturra,Compa„±Ia Colombiana Agroindustrial S.A,"343, Compa„±Ia Colombiana Agroindustrial S.A, 2014, Caturra",Arabica,Colombia,cundinamarca,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,Green,1600,1600,1600
344,2014,Caturra,Compa„±Ia Colombiana Agroindustrial S.A,"344, Compa„±Ia Colombiana Agroindustrial S.A, 2014, Caturra",Arabica,Colombia,santander,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,Green,1550,1550,1550
345,2014,Caturra,Compa„±Ia Colombiana Agroindustrial S.A,"345, Compa„±Ia Colombiana Agroindustrial S.A, 2014, Caturra",Arabica,Colombia,santander,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,,1550,1550,1550
346,2013,Typica,Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥,"346, Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥, 2013, Typica",Arabica,Taiwan,taichung xinshe Âè∞‰∏≠Â∏ÇÊñ∞Á§æÂçÄ,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,Green,1000,1000,1000
347,2012,Caturra,Racafe & Cia S.C.A,"347, Racafe & Cia S.C.A, 2012, Caturra",Arabica,Colombia,huila,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,Green,1600,1950,1775
348,2012,Typica,Alfredo Bojalil,"348, Alfredo Bojalil, 2012, Typica",Arabica,Mexico,xalapa,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,,1000,1000,1000
349,2012,Caturra,Carcafe Ltda Ci,"349, Carcafe Ltda Ci, 2012, Caturra",Arabica,Colombia,cundinamarca,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,Green,2136,2136,2136
350,2012,Catuai,Nucoffee,"350, Nucoffee, 2012, Catuai",Arabica,Brazil,south of minas,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,Blue-Green,1100,1100,1100
351,2016,Caturra,Carcafe Ltda Ci,"351, Carcafe Ltda Ci, 2016, Caturra",Arabica,Colombia,cundinamarca,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5,Bluish-Green,1799,1799,1799
352,2016,,Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥,"352, Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥, 2016",Arabica,Taiwan,,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5,Blue-Green,,,
353,2015,Caturra,"Ceca, S.A.","353, Ceca, S.A., 2015, Caturra",Arabica,Costa Rica,tarrazu,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5,Blue-Green,1850,1850,1850
354,2016,Caturra,Carcafe Ltda Ci,"354, Carcafe Ltda Ci, 2016, Caturra",Arabica,Colombia,pitalito,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,Green,1000,1000,1000
355,2016,Bourbon,Juan Luis Alvarado Romero,"355, Juan Luis Alvarado Romero, 2016, Bourbon",Arabica,Guatemala,oriente,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5,Bluish-Green,371.61216,371.61216,371.61216
356,2015,Caturra,Racafe & Cia S.C.A,"356, Racafe & Cia S.C.A, 2015, Caturra",Arabica,Colombia,huila,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5,Green,1600,1950,1775
357,2015,Ruiru 11,Damari Absalome,"357, Damari Absalome, 2015, Ruiru 11",Arabica,Tanzania,nkure- meru,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5,Green,1400,1400,1400
358,2015,Sumatra,Aulia Arif Syahri,"358, Aulia Arif Syahri, 2015, Sumatra",Arabica,Indonesia,bener meriah,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5,Bluish-Green,1500,1500,1500
359,2014,,Debesa Agro Industry Plc,"359, Debesa Agro Industry Plc, 2014",Arabica,Ethiopia,oromia,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5,,1600,1600,1600
360,2014,,Federacion Nacional De Cafeteros,"360, Federacion Nacional De Cafeteros, 2014",Arabica,Colombia,huila,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5,,,,
361,2014,Caturra,Exportadora De Cafe Condor S.A,"361, Exportadora De Cafe Condor S.A, 2014, Caturra",Arabica,Colombia,huila,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5,Green,1850,1850,1850
362,2013,Caturra,The Coffee Source Inc.,"362, The Coffee Source Inc., 2013, Caturra",Arabica,Guatemala,atitlan,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5,Green,1400,1400,1400
363,2014,Caturra,Compa„±Ia Colombiana Agroindustrial S.A,"363, Compa„±Ia Colombiana Agroindustrial S.A, 2014, Caturra",Arabica,Colombia,cundinamarca,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5,,1650,1650,1650
364,2014,Caturra,,"364, 2014, Caturra",Arabica,Honduras,comayagua,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,Green,1350,1350,1350
365,2013,Caturra,Exportadora De Cafe Condor S.A,"365, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5,Green,1750,1750,1750
366,2013,Caturra,Exportadora De Cafe Condor S.A,"366, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5,Green,1750,1750,1750
367,2012,Bourbon,Manuel Herrera Juarez,"367, Manuel Herrera Juarez, 2012, Bourbon",Arabica,Mexico,xalapa,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5,Green,1170,1170,1170
368,2012,Typica,Miguel Cortes Moreno,"368, Miguel Cortes Moreno, 2012, Typica",Arabica,Mexico,chil√≥n,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5,Green,940,940,940
369,2012,Pacamara,Gabriel Bernardo Rivas Ross,"369, Gabriel Bernardo Rivas Ross, 2012, Pacamara",Arabica,Mexico,totutla,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5,Green,1400,1400,1400
370,2012,Caturra,Juan Luis Alvarado Romero,"370, Juan Luis Alvarado Romero, 2012, Caturra",Arabica,Guatemala,atitlan,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5,Green,464.5152,464.5152,464.5152
371,2012,Caturra,Racafe & Cia S.C.A,"371, Racafe & Cia S.C.A, 2012, Caturra",Arabica,Colombia,huila,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5,Green,1600,1950,1775
372,2012,Bourbon,Felipe Isaza,"372, Felipe Isaza, 2012, Bourbon",Arabica,Guatemala,oriente,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5,Green,427.353984,427.353984,427.353984
373,,,Kona Pacific Farmers Cooperative,"373, Kona Pacific Farmers Cooperative",Arabica,United States,,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5,,,,
374,,,Specialty Coffee Association Of Indonesia,"374, Specialty Coffee Association Of Indonesia",Arabica,Indonesia,bondowoso,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5,,1600,1600,1600
375,2017,Caturra,Carcafe Ltda Ci,"375, Carcafe Ltda Ci, 2017, Caturra",Arabica,Colombia,huila,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,Green,439,439,439
376,2017,Bourbon,Juan Luis Alvarado Romero,"376, Juan Luis Alvarado Romero, 2017, Bourbon",Arabica,Guatemala,san marcos,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42,Green,1700,1700,1700
377,2016,Caturra,Carcafe Ltda Ci,"377, Carcafe Ltda Ci, 2016, Caturra",Arabica,Colombia,huila,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42,Green,442,442,442
378,2016,Caturra,"Ceca, S.A.","378, Ceca, S.A., 2016, Caturra",Arabica,Costa Rica,tarrazu,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42,Blue-Green,1850,1850,1850
379,2015,,Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥,"379, Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥, 2015",Arabica,Taiwan,,7.67,7.67,7,7.08,7,7,10,10,10,10,83.42,Blue-Green,,,
380,2015,SL14,Bugisu Cooperative Union,"380, Bugisu Cooperative Union, 2015, SL14",Arabica,Uganda,eastern,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42,Green,1800,1800,1800
381,2015,Catimor,∆ùæ∆æ§≈Æè∆®π Koju Matsuzawa,"381, ∆ùæ∆æ§≈Æè∆®π Koju Matsuzawa, 2015, Catimor",Arabica,Thailand,thailand,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42,Bluish-Green,1200,1200,1200
382,2016,Bourbon,Consejo Salvadore„±O Del Caf„©,"382, Consejo Salvadore„±O Del Caf„©, 2016, Bourbon",Arabica,El Salvador,apaneca,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42,,1330,1330,1330
383,2015,Caturra,Carcafe Ltda Ci,"383, Carcafe Ltda Ci, 2015, Caturra",Arabica,Colombia,huila,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42,Green,442,442,442
384,2014,Yellow Bourbon,Bourbon Specialty Coffees,"384, Bourbon Specialty Coffees, 2014, Yellow Bourbon",Arabica,Brazil,vale da grama,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42,Green,,,
385,2014,Bourbon,Ngila Estate Ltd,"385, Ngila Estate Ltd, 2014, Bourbon",Arabica,Tanzania,karatu northern,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42,Green,1600,1600,1600
386,2014,Caturra,Compa„±Ia Colombiana Agroindustrial S.A,"386, Compa„±Ia Colombiana Agroindustrial S.A, 2014, Caturra",Arabica,Colombia,huila,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42,Green,1813,1813,1813
387,2013,Bourbon,Juan Luis Alvarado Romero,"387, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42,Green,371.61216,371.61216,371.61216
388,2014,Caturra,Juan Luis Alvarado Romero,"388, Juan Luis Alvarado Romero, 2014, Caturra",Arabica,Guatemala,antigua,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42,Green,1500,1500,1500
389,2013,Bourbon,Juan Luis Alvarado Romero,"389, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42,Green,399.483072,399.483072,399.483072
390,2012,Hawaiian Kona,Kona Pacific Farmers Cooperative,"390, Kona Pacific Farmers Cooperative, 2012, Hawaiian Kona",Arabica,United States,kona,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42,Green,,,
391,2012,Caturra,Exportadora De Cafe Condor S.A,"391, Exportadora De Cafe Condor S.A, 2012, Caturra",Arabica,Colombia,cundinamarca,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42,Green,1450,1450,1450
392,,,Federacion Nacional De Cafeteros,"392, Federacion Nacional De Cafeteros",Arabica,Colombia,huila,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42,,,,
393,2010,,Kona Pacific Farmers Cooperative,"393, Kona Pacific Farmers Cooperative, 2010",Arabica,United States,kona,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42,,,,
394,,Peaberry,Doi Tung Development Project,"394, Doi Tung Development Project, Peaberry",Arabica,Thailand,,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42,,,,
395,,,Grounds For Health Admin,"395, Grounds For Health Admin",Arabica,Mexico,nayarit,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38,,900,1200,1050
396,2016,Caturra,Exportadora De Cafe Condor S.A,"396, Exportadora De Cafe Condor S.A, 2016, Caturra",Arabica,Colombia,huila,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33,,1650,1650,1650
397,2016,Caturra,Racafe & Cia S.C.A,"397, Racafe & Cia S.C.A, 2016, Caturra",Arabica,Colombia,guayata,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33,Blue-Green,,,
398,2016,Caturra,Racafe & Cia S.C.A,"398, Racafe & Cia S.C.A, 2016, Caturra",Arabica,Colombia,huila,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33,Green,,,
399,2015,Catuai,Ipanema Coffees,"399, Ipanema Coffees, 2015, Catuai",Arabica,Brazil,south of minas,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,Green,1227,1227,1227
400,2014,Caturra,Andreas Kussmaul,"400, Andreas Kussmaul, 2014, Caturra",Arabica,Mexico,chiapas,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33,Green,1200,1200,1200
401,2015,Caturra,Exportadora De Cafe Condor S.A,"401, Exportadora De Cafe Condor S.A, 2015, Caturra",Arabica,Colombia,santander,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33,Green,1650,1650,1650
402,2014,Other,Afca,"402, Afca, 2014, Other",Arabica,Tanzania,arusha,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33,Green,1700,1700,1700
403,2013,Other,J.Andrade,"403, J.Andrade, 2013, Other",Arabica,Mexico,veracruz,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33,Green,1100,1100,1100
404,2014,Caturra,The Coffee Source Inc.,"404, The Coffee Source Inc., 2014, Caturra",Arabica,Costa Rica,san ramon,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33,Green,1300,1300,1300
405,2014,Hawaiian Kona,Eileen Koyanagi,"405, Eileen Koyanagi, 2014, Hawaiian Kona",Arabica,United States,kona,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33,Bluish-Green,,,
406,2013,Catuai,Eric Thormaehlen,"406, Eric Thormaehlen, 2013, Catuai",Arabica,Costa Rica,central valley,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33,Green,1100,1300,1200
407,2013,,Dane Loraas,"407, Dane Loraas, 2013",Arabica,Peru,,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33,Green,,,
408,2012,Typica,Itiah Coffee Llc,"408, Itiah Coffee Llc, 2012, Typica",Arabica,Haiti,"thiotte, haiti",7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33,Green,390.192768,390.192768,390.192768
409,2013,Caturra,Carcafe Ltda Ci,"409, Carcafe Ltda Ci, 2013, Caturra",Arabica,Colombia,pitalito,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33,Green,1000,1000,1000
410,2013,Bourbon,Juan Luis Alvarado Romero,"410, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33,Green,399.483072,399.483072,399.483072
411,2012,Hawaiian Kona,Kona Pacific Farmers Cooperative,"411, Kona Pacific Farmers Cooperative, 2012, Hawaiian Kona",Arabica,United States,kona,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33,Bluish-Green,,,
412,2012,Bourbon,Steven Kil,"412, Steven Kil, 2012, Bourbon",Arabica,Burundi,kayanza,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33,,1880,1880,1880
413,2012,Caturra,Exportadora De Cafe Condor S.A,"413, Exportadora De Cafe Condor S.A, 2012, Caturra",Arabica,Colombia,huila,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33,Green,1750,1750,1750
414,,,Kona Pacific Farmers Cooperative,"414, Kona Pacific Farmers Cooperative",Arabica,United States,kona,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33,,,,
415,,,Kona Pacific Farmers Cooperative,"415, Kona Pacific Farmers Cooperative",Arabica,United States,,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33,,,,
416,2017,Typica,Cafe De Don Balbino S.C. De R.L. De C.V.,"416, Cafe De Don Balbino S.C. De R.L. De C.V., 2017, Typica",Arabica,Mexico,sierra madre occidental,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25,Blue-Green,1600,1600,1600
417,2016,Catuai,Troy Quimby,"417, Troy Quimby, 2016, Catuai",Arabica,Costa Rica,tarrazu,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25,Green,1900,1900,1900
418,2015,,Rodrigo Soto,"418, Rodrigo Soto, 2015",Arabica,Costa Rica,tarrazu,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25,,,,
419,2016,Pacas,Juan Luis Alvarado Romero,"419, Juan Luis Alvarado Romero, 2016, Pacas",Arabica,Guatemala,nuevo oriente,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25,Green,2100,2100,2100
420,2015,SL14,Kawacom Uganda Ltd,"420, Kawacom Uganda Ltd, 2015, SL14",Arabica,Uganda,"sipi, mt elgon",7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25,Green,,,
421,2016,,Bourbon Specialty Coffees,"421, Bourbon Specialty Coffees, 2016",Arabica,Brazil,campos altos - cerrado,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25,Green,,,
422,2015,Caturra,Carcafe Ltda Ci,"422, Carcafe Ltda Ci, 2015, Caturra",Arabica,Colombia,huila,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25,Green,442,442,442
423,2015,Typica,Productos Y Servicios Chilindron S.A. De C.V.,"423, Productos Y Servicios Chilindron S.A. De C.V., 2015, Typica",Arabica,Mexico,cuarente√±o,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25,Bluish-Green,1261,1261,1261
424,2015,Bourbon,"Lin, Che-Hao Krude ∆ûó≈ì≤»±™","424, Lin, Che-Hao Krude ∆ûó≈ì≤»±™, 2015, Bourbon",Arabica,Taiwan,natou county,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25,Blue-Green,1000,1000,1000
